Tipo esercizio pa;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Prevalente;Superficie altri usi;Superficie lavorativa
;LGO DEI GELSOMINI N. 10 (z.d. 6);LGO;DEI GELSOMINI;10;5394;6;;;55
;PZA FIDIA N. 3 (z.d. 9);PZA;FIDIA;3;1144;9;CENTRO MASSAGGI RILASSANTI NON ESTETICI;2;28
;VIA ADIGE N. 10 (z.d. 5);VIA;ADIGE;10;4216;5;CENTRO BENESSERE;2;27
;VIA BARACCHINI FLAVIO N. 9 (z.d. 1);VIA;BARACCHINI FLAVIO;9;356;1;TRUCCO SEMIPERMANENTE;;
;VIA BERGAMO N. 12 (z.d. 4);VIA;BERGAMO;12;3189;4;;;50
;VIA BOTTEGO VITTORIO N. 13 (z.d. 2);VIA;BOTTEGO VITTORIO;13;2521;2;CENTRO BENESSERE;5;90
;VIA BRIOSCHI FRANCESCO N. 39 (z.d. 5);VIA;BRIOSCHI FRANCESCO;39;5243;5;;;123
;VIA CUCCHIARI DOMENICO N. 25 (z.d. 8);VIA;CUCCHIARI DOMENICO;25;7224;8;CENTRO MASSAGGI RILASSANTI NON ESTETICI;50;176
;VIA JAN GIORGIO N. 6 (z.d. 3);VIA;JAN GIORGIO;6;2154;3;ESTETICA TIPO A;26;35
;VIA LEGNONE N. 20 (z.d. 9);VIA;LEGNONE;20;1298;9;;;45
;VIA MELLONI MACEDONIO N. 30 (z.d. 4);VIA;MELLONI MACEDONIO;30;3085;4;CENTRO MASSAGGI RILASSANTI NON ESTETICI;29;20
;VIA NEGROLI N. 2 (z.d. 4);VIA;NEGROLI;2;3279;4;CENTRO MASSAGGI;11;33
;VIA PALMANOVA N. 67 (z.d. 2);VIA;PALMANOVA;67;2390;2;;;50
;"VIA POLLAIUOLO ANTONIO N. 16 ; (z.d. 9)";VIA;POLLAIUOLO ANTONIO;16;1146;9;;;100
;VIA PORPORA NICOLA ANTONIO N. 111 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;111;2229;3;CENTRO MASSAGGI RILASSANTI NON ESTETICI;14;19
;VIA PROCACCINI GIULIO CESARE N. 36 (z.d. 8);VIA;PROCACCINI GIULIO CESARE;36;7204;8;;;85
;VIA ROSSI PELLEGRINO N. 83 (z.d. 9);VIA;ROSSI PELLEGRINO;83;1510;9;CENTRO MASSAGGI;;
;"VIA SANT' ANATALONE N. 5 ; (z.d. 6)";VIA;SANT' ANATALONE;5;6587;6;;;
;"VIA SARPI FRA' PAOLO N. 22 ; (z.d. 8)";VIA;SARPI FRA' PAOLO;22;7210;8;;;56
;VIA SETTALA LODOVICO N. 20 (z.d. 3);VIA;SETTALA LODOVICO;20;2111;3;;;40
;"VIA STRAMBIO GAETANO N. 23 estetista in appartamento; (z.d. 3)";VIA;STRAMBIO GAETANO;23;3168;3;;;36
;VIA TENCA CARLO N. 10 (z.d. 2);VIA;TENCA CARLO;10;2118;2;TATUAGGI E PIERCING;52;47
;VIA TOSELLI PIETRO N. 1 (z.d. 2);VIA;TOSELLI PIETRO;1;2360;2;;;45
;VIA VERITA' DON GIOVANNI N. 4 (z.d. 9);VIA;VERITA' DON GIOVANNI;4;1469;9;;;
;VIA WATT GIACOMO N. 5 (z.d. 6);VIA;WATT GIACOMO;5;5292;6;CENTRO MASSAGGI RILASSANTI NON ESTETICI;;
;VLE BLIGNY N. 23 (z.d. 5);VLE;BLIGNY;23;4045;5;SERVIZI DI CENTRI PER IL BENESSERE FISICO;;149
;VLE CORSICA N. 91 (z.d. 4);VLE;CORSICA;91;3262;4;;;45
;VLE SABOTINO N. 5 (z.d. 5);VLE;SABOTINO;5;4046;5;;;51
;VLE SABOTINO N. 8 (z.d. 5);VLE;SABOTINO;8;4046;5;ESTETICA A;;46
;VLE SUZZANI GIOVANNI N. 19 (z.d. 9);VLE;SUZZANI GIOVANNI;19;1446;9;;;66
;VLE TUNISIA N. 38 (z.d. 2);VLE;TUNISIA;38;2121;2;acconciatore;3;32
Acconciatore;CSO BUENOS AIRES N. 23 (z.d. 3);CSO;BUENOS AIRES;23;2129;3;;;68
Acconciatore;CSO COMO N. 15 interno club f. conti
 (z.d. 9);CSO;COMO;15;1111;9;ACCONCIATORE;;195
Acconciatore;"CSO DI PORTA NUOVA N. 46 ; (z.d. 1)";CSO;DI PORTA NUOVA;46;1044;1;;;34
Acconciatore;CSO DI PORTA VITTORIA N. 54 (z.d. 1);CSO;DI PORTA VITTORIA;54;3016;1;;;25
Acconciatore;CSO DI PORTA VITTORIA N. 8 (z.d. 1);CSO;DI PORTA VITTORIA;8;3016;1;;;28
Acconciatore;CSO GARIBALDI GIUSEPPE N. 39 (z.d. 1);CSO;GARIBALDI GIUSEPPE;39;1010;1;;;54
Acconciatore;CSO GARIBALDI GIUSEPPE N. 65 (z.d. 1);CSO;GARIBALDI GIUSEPPE;65;1010;1;;;70
Acconciatore;CSO ITALIA N. 36 (z.d. 1);CSO;ITALIA;36;526;1;;;57
Acconciatore;CSO LODI N. 103 (z.d. 4);CSO;LODI;103;4068;4;;;55
Acconciatore;"CSO LODI N. 36 ; (z.d. 5)";CSO;LODI;36;4068;5;;1;18
Acconciatore;CSO PLEBISCITI N. 12 (z.d. 4);CSO;PLEBISCITI;12;3120;4;;;30
Acconciatore;CSO VENTIDUE MARZO N. 40 (z.d. 4);CSO;VENTIDUE MARZO;40;3074;4;;;50
Acconciatore;CSO VERCELLI N. 29 (z.d. 7);CSO;VERCELLI;29;6193;7;acconciatore;;172
Acconciatore;"PAS DUOMO N. 2 piano primo; (z.d. 1)";PAS;DUOMO;2;102;1;;;81
Acconciatore;PLE F.LLI ZAVATTARI N. 4 (z.d. 7);PLE;F.LLI ZAVATTARI;4;6537;7;;;45
Acconciatore;"PLE LAGOSTA N. 1 ; (z.d. 9)";PLE;LAGOSTA;1;1155;9;;;45
Acconciatore;"PZA ANGILBERTO II N. 9 ; (z.d. 5)";PZA;ANGILBERTO II;9;4278;5;;;35
Acconciatore;PZA ASPARI DOMENICO N. 2 (z.d. 3);PZA;ASPARI DOMENICO;2;3173;3;ACCONCIATORE;;
Acconciatore;PZA BOLIVAR SIMONE N. 6 (z.d. 6);PZA;BOLIVAR SIMONE;6;6129;6;;;25
Acconciatore;PZA BOLIVAR SIMONE N. 6 (z.d. 6);PZA;BOLIVAR SIMONE;6;6129;6;;;33
Acconciatore;PZA CHIARADIA ENRICO N. 9 (z.d. 5);PZA;CHIARADIA ENRICO;9;4252;5;;;53
Acconciatore;"PZA DE ANGELI ERNESTO N. 1 ; (z.d. 7)";PZA;DE ANGELI ERNESTO;1;6276;7;acconciatore;;
Acconciatore;"PZA DE ANGELI ERNESTO N. 1 ; (z.d. 7)";PZA;DE ANGELI ERNESTO;1;6276;7;ACCONCIATORE;40;100
Acconciatore;PZA DELLA REPUBBLICA N. 32 (z.d. 2);PZA;DELLA REPUBBLICA;32;1055;2;ACCONCIATORE;;35
Acconciatore;PZA OSPEDALE MAGGIORE N. 3 (z.d. 9);PZA;OSPEDALE MAGGIORE;3;1523;9;;;40
Acconciatore;"PZA PREALPI N. 4 ; (z.d. 8)";PZA;PREALPI;4;7300;8;;;55
Acconciatore;"PZA RISORGIMENTO N. 7 ; (z.d. 3)";PZA;RISORGIMENTO;7;3117;3;;10;40
Acconciatore;VIA ALTAMURA SAVERIO N. 17 (z.d. 7);VIA;ALTAMURA SAVERIO;17;6576;7;ACCONCIATORE;;37
Acconciatore;VIA AMADEO GIAN ANTONIO N. 27 (z.d. 3);VIA;AMADEO GIAN ANTONIO;27;3228;3;;;
Acconciatore;"VIA ARBE N. 65 ; (z.d. 2)";VIA;ARBE;65;1352;2;;2;40
Acconciatore;VIA ARCHIMEDE N. 83 (z.d. 4);VIA;ARCHIMEDE;83;3086;4;;;59
Acconciatore;VIA ARNOLFO DI CAMBIO N. 2 (z.d. 8);VIA;ARNOLFO DI CAMBIO;2;7230;8;;;55
Acconciatore;VIA ASTESANI ALESSANDRO N. 2 (z.d. 9);VIA;ASTESANI ALESSANDRO;2;1558;9;ACCONCIATORE;;26
Acconciatore;VIA BERGAMO N. 12A (z.d. 4);VIA;BERGAMO;12A;3189;4;;;39
Acconciatore;"VIA BERGAMO N. 2 ; (z.d. 4)";VIA;BERGAMO;2;3189;4;;;40
Acconciatore;"VIA BERGOGNONE AMBROGIO DA FOSSANO N. 9 ; (z.d. 6)";VIA;BERGOGNONE AMBROGIO DA FOSSANO;9;5130;6;;;16
Acconciatore;VIA BONGHI RUGGERO N. 12 (z.d. 5);VIA;BONGHI RUGGERO;12;5247;5;;;40
Acconciatore;"VIA BORSI GIOSUE' N. 2 ; (z.d. 6)";VIA;BORSI GIOSUE';2;5237;6;;;20
Acconciatore;VIA BORSI GIOSUE' N. 2 (z.d. 6);VIA;BORSI GIOSUE';2;5237;6;;;40
Acconciatore;VIA BOSCOVICH RUGGERO N. 17 (z.d. 2);VIA;BOSCOVICH RUGGERO;17;2131;2;;;25
Acconciatore;VIA BOTTESINI GIOVANNI N. 7 (z.d. 3);VIA;BOTTESINI GIOVANNI;7;2567;3;;;45
Acconciatore;"VIA BRUZZESI GIACINTO N. 25 ; (z.d. 6)";VIA;BRUZZESI GIACINTO;25;5388;6;ACCONCIATORE;15;69
Acconciatore;VIA BUSCHI AVERARDO N. 20 (z.d. 3);VIA;BUSCHI AVERARDO;20;2575;3;;;32
Acconciatore;"VIA CACCIATORI BENEDETTO N. 12 ; (z.d. 7)";VIA;CACCIATORI BENEDETTO;12;6305;7;;;46
Acconciatore;"VIA CADORE N. 48 ; (z.d. 4)";VIA;CADORE;48;3077;4;;;28
Acconciatore;VIA CAPECELATRO ALFONSO N. 23 (z.d. 7);VIA;CAPECELATRO ALFONSO;23;6575;7;;;45
Acconciatore;VIA CAPPELLINI ALFREDO N. 16 (z.d. 2);VIA;CAPPELLINI ALFREDO;16;2130;2;ACCONCIATORE;3;38
Acconciatore;VIA CASORETTO N. 1 (z.d. 3);VIA;CASORETTO;1;2420;3;;;42
Acconciatore;VIA CASTALDI PANFILO N. 29 (z.d. 3);VIA;CASTALDI PANFILO;29;2119;3;;;37
Acconciatore;VIA CELIO N. 2 (z.d. 7);VIA;CELIO;2;6623;7;ACCONCIATORE;26;23
Acconciatore;VIA CESARIANO CESARE N. 8 (z.d. 1);VIA;CESARIANO CESARE;8;7113;1;;;30
Acconciatore;VIA CIVITALI MATTEO N. 25 (z.d. 7);VIA;CIVITALI MATTEO;25;6569;7;;;31
Acconciatore;VIA COLLETTA PIETRO N. 9 (z.d. 4);VIA;COLLETTA PIETRO;9;4078;4;;;30
Acconciatore;VIA CONSOLE MARCELLO N. 10 (z.d. 8);VIA;CONSOLE MARCELLO;10;7278;8;;;50
Acconciatore;VIA COPERNICO NICOLO' N. 61 (z.d. 2);VIA;COPERNICO NICOLO';61;1204;2;;;35
Acconciatore;VIA CORREGGIO N. 8 (z.d. 7);VIA;CORREGGIO;8;6287;7;ACCONCIATORE;;
Acconciatore;VIA CORREGGIO N. 8 (z.d. 7);VIA;CORREGGIO;8;6287;7;ACCONCIATORE;;
Acconciatore;VIA CRESPI PIETRO N. 13 (z.d. 2);VIA;CRESPI PIETRO;13;2296;2;ACCONCIATORE;20;16
Acconciatore;VIA CRESPI PIETRO N. 13 (z.d. 2);VIA;CRESPI PIETRO;13;2296;2;ACCONCIATORE;;30
Acconciatore;VIA CUSANI N. 7 (z.d. 1);VIA;CUSANI;7;719;1;;;56
Acconciatore;VIA DARWIN CARLO ROBERTO N. 17 int. residenze anni azzurri (per anziani) (z.d. 6);VIA;DARWIN CARLO ROBERTO;17;5238;6;;;25
Acconciatore;VIA DE AMICIS EDMONDO N. 47 (z.d. 1);VIA;DE AMICIS EDMONDO;47;574;1;;9;51
Acconciatore;VIA DE CRISTOFORIS CARLO N. 15 (z.d. 9);VIA;DE CRISTOFORIS CARLO;15;1120;9;;1;43
Acconciatore;VIA DELLA MOSCOVA N. 48 (z.d. 1);VIA;DELLA MOSCOVA;48;1016;1;ACCONCIATORE;24;50
Acconciatore;"VIA DELLE FORZE ARMATE N. 232 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;232;6643;7;;;36
Acconciatore;VIA DELLE FORZE ARMATE N. 234 (z.d. 7);VIA;DELLE FORZE ARMATE;234;6643;7;;;28
Acconciatore;VIA DEL RICORDO N. 57 (z.d. 2);VIA;DEL RICORDO;57;2496;2;;;30
Acconciatore;VIA DE PRETIS AGOSTINO N. 5 (z.d. 6);VIA;DE PRETIS AGOSTINO;5;5431;6;ACCONCIATORE;6;44
Acconciatore;VIA DOGANA N. 3 (z.d. 1);VIA;DOGANA;3;341;1;;;50
Acconciatore;VIA DRAGO MARIA N. 1 (z.d. 8);VIA;DRAGO MARIA;1;7464;8;ACCONCIATORE;11;16
Acconciatore;VIA FARINI CARLO N. 40 (z.d. 9);VIA;FARINI CARLO;40;1114;9;;;36
Acconciatore;VIA FILZI FABIO N. 8 (z.d. 2);VIA;FILZI FABIO;8;1190;2;;150;
Acconciatore;"VIA FRIULI N. 75 ; (z.d. 4)";VIA;FRIULI;75;3199;4;;;40
Acconciatore;VIA GAFFURIO FRANCHINO N. 5 (z.d. 3);VIA;GAFFURIO FRANCHINO;5;2138;3;;;35
Acconciatore;VIA GESSI ROMOLO N. 34 (z.d. 6);VIA;GESSI ROMOLO;34;6121;6;;;36
Acconciatore;VIA GIAMBELLINO N. 150 (z.d. 6);VIA;GIAMBELLINO;150;5136;6;;;46
Acconciatore;"VIA GIAMBELLINO N. 71 ; (z.d. 6)";VIA;GIAMBELLINO;71;5136;6;;;30
Acconciatore;VIA GIOIA MELCHIORRE N. 55 (z.d. 2);VIA;GIOIA MELCHIORRE;55;1108;2;;;39
Acconciatore;VIA IMBONATI CARLO N. 21 (z.d. 9);VIA;IMBONATI CARLO;21;1311;9;;;
Acconciatore;VIA ISIMBARDI INNOCENZO N. 27 (z.d. 5);VIA;ISIMBARDI INNOCENZO;27;5332;5;;;45
Acconciatore;"VIA LARIO N. 30 ; (z.d. 9)";VIA;LARIO;30;1171;9;;2;49
Acconciatore;VIA LEPETIT ROBERTO N. 29 (z.d. 2);VIA;LEPETIT ROBERTO;29;2096;2;;;65
Acconciatore;"VIA LESSONA MICHELE N. 57 ; (z.d. 8)";VIA;LESSONA MICHELE;57;7490;8;;;40
Acconciatore;VIA LIVIGNO N. 6A (z.d. 9);VIA;LIVIGNO;6A;1296;9;ACCONCIATORE;;66
Acconciatore;VIA LODOVICO IL MORO N. 3 (z.d. 6);VIA;LODOVICO IL MORO;3;5290;6;ACCONCIATORE;;25
Acconciatore;VIA LORENTEGGIO N. 163 (z.d. 6);VIA;LORENTEGGIO;163;5132;6;;;36
Acconciatore;"VIA MANTOVA N. 15 ; (z.d. 5)";VIA;MANTOVA;15;4217;5;;;45
Acconciatore;VIA MANTOVA N. 3 (z.d. 5);VIA;MANTOVA;3;4217;5;;;30
Acconciatore;VIA MARCONA N. 90 (z.d. 4);VIA;MARCONA;90;3080;4;;;32
Acconciatore;VIA MASCHERONI LORENZO N. 14 (z.d. 1);VIA;MASCHERONI LORENZO;14;6183;1;;;35
Acconciatore;VIA MASOLINO DA PANICALE N. 2 (z.d. 8);VIA;MASOLINO DA PANICALE;2;7264;8;;;45
Acconciatore;VIA MASOTTO UMBERTO N. 20 (z.d. 4);VIA;MASOTTO UMBERTO;20;3283;4;;1;41
Acconciatore;VIA MEDA GIUSEPPE N. 53 (z.d. 5);VIA;MEDA GIUSEPPE;53;5242;5;;;40
Acconciatore;VIA MEDA GIUSEPPE N. 55 (z.d. 5);VIA;MEDA GIUSEPPE;55;5242;5;;;30
Acconciatore;VIA MELZO N. 22 (z.d. 3);VIA;MELZO;22;2184;3;;;26
Acconciatore;VIA MERLO CARLO GIUSEPPE N. 3 (z.d. 1);VIA;MERLO CARLO GIUSEPPE;3;329;1;;;43
Acconciatore;VIA MEUCCI ANTONIO N. 70 (z.d. 2);VIA;MEUCCI ANTONIO;70;2497;2;;;28
Acconciatore;VIA MILLELIRE DOMENICO N. 10 (z.d. 7);VIA;MILLELIRE DOMENICO;10;6620;7;SERVIZI DEI SALONI DI BARBIERE E PARRUCCHIERE;;58
Acconciatore;VIA MILLELIRE DOMENICO N. 6 (z.d. 7);VIA;MILLELIRE DOMENICO;6;6620;7;ACCONCIATORE;4;35
Acconciatore;VIA MONTE CENGIO N. 3 (z.d. 4);VIA;MONTE CENGIO;3;4366;4;;;50
Acconciatore;VIA MONTE GENEROSO N. 53 (z.d. 8);VIA;MONTE GENEROSO;53;7180;8;ACCONCIATORE;;70
Acconciatore;VIA MONTE OLIVETO N. 10 (z.d. 4);VIA;MONTE OLIVETO;10;3345;4;;;31
Acconciatore;VIA MORIGI N. 1 angolo piazza mentana (z.d. 1);VIA;MORIGI;1;633;1;;;36
Acconciatore;VIA NERINO N. 10 (z.d. 1);VIA;NERINO;10;564;1;;;40
Acconciatore;"VIA ORSINI VINCENZO GIORDANO N. 2 ; (z.d. 7)";VIA;ORSINI VINCENZO GIORDANO;2;6648;7;;;40
Acconciatore;VIA PALIZZI FILIPPO N. 119F (z.d. 8);VIA;PALIZZI FILIPPO;119F;7451;8;ACCONCIATORE;11;30
Acconciatore;"VIA PALMA JACOPO N. 5 ; (z.d. 7)";VIA;PALMA JACOPO;5;6605;7;;13;34
Acconciatore;VIA PAMPURI FRA' RICCARDO N. 3 (z.d. 5);VIA;PAMPURI FRA' RICCARDO;3;4322;5;;;26
Acconciatore;"VIA PARAVIA PIER ALESSANDRO N. 26 ; (z.d. 7)";VIA;PARAVIA PIER ALESSANDRO;26;6571;7;Acconciatore;;40
Acconciatore;VIA PARINI GIUSEPPE N. 9 (z.d. 1);VIA;PARINI GIUSEPPE;9;1049;1;ACCONCIATORE;15;47
Acconciatore;"VIA PASCOLI GIOVANNI N. 2 ; (z.d. 3)";VIA;PASCOLI GIOVANNI;2;3132;3;;;86
Acconciatore;VIA PAULUCCI DI CALBOLI FULCIERI N. 24 (z.d. 9);VIA;PAULUCCI DI CALBOLI FULCIERI;24;1590;9;ACCONCIATORE;;
Acconciatore;VIA PAVIA N. 6/2 (z.d. 5);VIA;PAVIA;40945;5262;5;PARRUCCHIERE UOMO DONNA BARBIERE;;
Acconciatore;VIA PECCHIO GIUSEPPE N. 17 (z.d. 3);VIA;PECCHIO GIUSEPPE;17;2240;3;;;48
Acconciatore;"VIA PETROCCHI POLICARPO N. 21 ; (z.d. 2)";VIA;PETROCCHI POLICARPO;21;2320;2;;;18
Acconciatore;VIA PETROCCHI POLICARPO N. 21 (z.d. 2);VIA;PETROCCHI POLICARPO;21;2320;2;;;55
Acconciatore;VIA PEZZOTTI GIOVANNI N. 19 (z.d. 5);VIA;PEZZOTTI GIOVANNI;19;5244;5;PARRUCCHIERE;;63
Acconciatore;VIA PIERI MARIO N. 2 (z.d. 2);VIA;PIERI MARIO;2;2513;2;;;
Acconciatore;VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 4 (z.d. 3);VIA;PIERLUIGI GIOVANNI DA PALESTRINA;4;2235;3;;;45
Acconciatore;"VIA PIRANO N. 4 ; (z.d. 2)";VIA;PIRANO;4;2483;2;;;65
Acconciatore;VIA PLINIO CAIO SECONDO N. 46 (z.d. 3);VIA;PLINIO CAIO SECONDO;46;2144;3;;;25
Acconciatore;VIA PONTE SEVESO N. 22 (z.d. 2);VIA;PONTE SEVESO;22;1203;2;;;46
Acconciatore;"VIA PORPORA NICOLA ANTONIO N. 14 angolo via ricordi; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;14;2229;3;;;62
Acconciatore;"VIA PRINA GIUSEPPE N. 12 ; (z.d. 8)";VIA;PRINA GIUSEPPE;12;7135;8;;;25
Acconciatore;"VIA PRINCIPE EUGENIO N. 22 ; (z.d. 8)";VIA;PRINCIPE EUGENIO;22;7223;8;;;35
Acconciatore;"VIA PRINCIPE EUGENIO N. 25 ; (z.d. 8)";VIA;PRINCIPE EUGENIO;25;7223;8;ACCONCIATORE;;
Acconciatore;VIA PULCI LUIGI N. 15 (z.d. 9);VIA;PULCI LUIGI;15;1622;9;;;45
Acconciatore;"VIA QUARENGHI GIACOMO N. 8 ; (z.d. 8)";VIA;QUARENGHI GIACOMO;8;7478;8;;;35
Acconciatore;VIA REMBRANDT N. 65 (z.d. 7);VIA;REMBRANDT;65;6618;7;;;
Acconciatore;VIA RIPAMONTI GIUSEPPE N. 128 (z.d. 5);VIA;RIPAMONTI GIUSEPPE;128;4066;5;;;36
Acconciatore;"VIA RONCHI N. 39 ; (z.d. 3)";VIA;RONCHI;39;2655;3;;;20
Acconciatore;"VIA RUBENS PIETRO N. 14 ; (z.d. 7)";VIA;RUBENS PIETRO;14;6597;7;;;35
Acconciatore;VIA SALA DEI LONGOBARDI N. 2 (z.d. 1);VIA;SALA DEI LONGOBARDI;2;217;1;ACCONCIATORE;;
Acconciatore;VIA SAN GREGORIO N. 27 (z.d. 3);VIA;SAN GREGORIO;27;2123;3;ACCONCIATORE;2;55
Acconciatore;VIA SAN LUCA N. 4 (z.d. 1);VIA;SAN LUCA;4;5193;1;ACONCIATORE;;
Acconciatore;VIA SANTA RITA DA CASCIA N. 3B (z.d. 6);VIA;SANTA RITA DA CASCIA;3B;5301;6;ACCONCIATORE;;77
Acconciatore;VIA SANT' EUFEMIA N. 17 (z.d. 1);VIA;SANT' EUFEMIA;17;405;1;;;31
Acconciatore;VIA SANTISSIMI NABORE E FELICE N. 1 (z.d. 7);VIA;SANTISSIMI NABORE E FELICE;1;6621;7;;;41
Acconciatore;VIA SAN VINCENZO N. 20 (z.d. 1);VIA;SAN VINCENZO;20;5098;1;;;30
Acconciatore;VIA S. GIOV. SUL MURO N. 12 (z.d. 1);VIA;S. GIOV. SUL MURO;12;609;1;;1;80
Acconciatore;VIA S. GIOV. SUL MURO N. 14 (z.d. 1);VIA;S. GIOV. SUL MURO;14;609;1;;;32
Acconciatore;VIA SOLARI ANDREA N. 41 (z.d. 6);VIA;SOLARI ANDREA;41;5111;6;;;30
Acconciatore;"VIA TARAMELLI TORQUATO N. 70 ; (z.d. 2)";VIA;TARAMELLI TORQUATO;70;1164;2;;;21
Acconciatore;VIA TARRA GIULIO N. 6 (z.d. 2);VIA;TARRA GIULIO;6;1198;2;;;46
Acconciatore;VIA TARRA GIULIO N. 6 (z.d. 2);VIA;TARRA GIULIO;6;1198;2;;;50
Acconciatore;"VIA TARTINI GIUSEPPE N. 12 ; (z.d. 9)";VIA;TARTINI GIUSEPPE;12;1501;9;;;54
Acconciatore;VIA TRAIANO MARCO ULPIO N. 64 (z.d. 8);VIA;TRAIANO MARCO ULPIO;64;7157;8;;;55
Acconciatore;VIA TRIESTE N. 19 (z.d. 7);VIA;TRIESTE;19;6261;7;;;54
Acconciatore;VIA TRIVULZIO ANTONIO TOLOMEO N. 2 (z.d. 7);VIA;TRIVULZIO ANTONIO TOLOMEO;2;6277;7;;;45
Acconciatore;VIA VAL DI BONDO N. 14 (z.d. 9);VIA;VAL DI BONDO;14;1648;9;;;50
Acconciatore;VIA VAL TROMPIA N. 41 (z.d. 8);VIA;VAL TROMPIA;41;7494;8;;;30
Acconciatore;VIA VARESINA N. 68 (z.d. 8);VIA;VARESINA;68;7290;8;ACCONCIATORE;;
Acconciatore;"VIA VITRUVIO N. 35 ; (z.d. 3)";VIA;VITRUVIO;35;2134;3;;;19
Acconciatore;"VIA VIVIANI VINCENZO N. 2 ; (z.d. 9)";VIA;VIVIANI VINCENZO;2;1185;9;;;62
Acconciatore;"VIA WASHINGTON GIORGIO N. 15 ; (z.d. 7)";VIA;WASHINGTON GIORGIO;15;6111;7;;;35
Acconciatore;VIA WASHINGTON GIORGIO N. 5 (z.d. 7);VIA;WASHINGTON GIORGIO;5;6111;7;ACCONCIATORE;3;39
Acconciatore;VIA ZECCA VECCHIA N. 4 (z.d. 1);VIA;ZECCA VECCHIA;4;565;1;;;32
Acconciatore;"VLE BEATRICE D'ESTE N. 49 ; (z.d. 1)";VLE;BEATRICE D'ESTE;49;4048;1;acconciatore;19;30
Acconciatore;VLE CERTOSA N. 41 (z.d. 8);VLE;CERTOSA;41;7174;8;;;40
Acconciatore;VLE D'ANNUNZIO GABRIELE N. 25 (z.d. 1);VLE;D'ANNUNZIO GABRIELE;25;5170;1;;;15
Acconciatore;VLE DELLE RIMEMBRANZE DI GRECO N. 8 (z.d. 2);VLE;DELLE RIMEMBRANZE DI GRECO;8;1412;2;ACCONCIATORE;;
Acconciatore;VLE DORIA ANDREA N. 12 (z.d. 2);VLE;DORIA ANDREA;12;2230;2;;;42
Acconciatore;VLE FAMAGOSTA N. 48 (z.d. 6);VLE;FAMAGOSTA;48;5353;6;;;46
Acconciatore;VLE MONTE CENERI N. 14 (z.d. 8);VLE;MONTE CENERI;14;7176;8;ACCONCIATORE;3;28
Acconciatore;VLE PIAVE N. 21 (z.d. 1);VLE;PIAVE;21;2179;1;ACCONCIATORE UOMO DONNA;;47
Acconciatore;"VLE REGINA GIOVANNA N. 30 ; (z.d. 3)";VLE;REGINA GIOVANNA;30;2157;3;;;79
Acconciatore;"VLE REGINA GIOVANNA N. 42 ; (z.d. 3)";VLE;REGINA GIOVANNA;42;2157;3;;8;17
Acconciatore;VLE REGINA MARGHERITA N. 2 (z.d. 1);VLE;REGINA MARGHERITA;2;3059;1;;;36
Acconciatore;VLE SABOTINO N. 8 (z.d. 5);VLE;SABOTINO;8;4046;5;ACCONCIATORE;;46
Acconciatore;"VLE STELVIO N. 39 ; (z.d. 9)";VLE;STELVIO;39;1227;9;ACCONCIATORE;;25
Acconciatore;VLE TESTI FULVIO N. 70 (z.d. 9);VLE;TESTI FULVIO;70;1441;9;;;45
Acconciatore;VLE TROYA CARLO N. 4 (z.d. 6);VLE;TROYA CARLO;4;5140;6;;;70
Acconciatore;"VLE UMBRIA N. 35 ; (z.d. 4)";VLE;UMBRIA;35;3145;4;ACCONCIATORE;;53
Acconciatore;VLE UMBRIA N. 53 (z.d. 4);VLE;UMBRIA;53;3145;4;;;35
Acconciatore;VLE UMBRIA N. 99 (z.d. 4);VLE;UMBRIA;99;3145;4;;;50
Acconciatore;VLE VITTORIO VENETO N. 6 (z.d. 3);VLE;VITTORIO VENETO;6;2107;3;;;45
ACCONCIATORE;"ALZ NAVIGLIO PAVESE N. 52 ; (z.d. 6)";ALZ;NAVIGLIO PAVESE;52;5161;6;;2;12
ACCONCIATORE;"BST DI PORTA VOLTA N. 13 ; (z.d. 1)";BST;DI PORTA VOLTA;13;1066;1;;;
ACCONCIATORE;"codvia 4386 num.008; (z.d. 4)";CSO;LODI;72;4068;4;;;50
ACCONCIATORE;"CSO BUENOS AIRES N. 64 ; (z.d. 3)";CSO;BUENOS AIRES;64;2129;3;;;57
ACCONCIATORE;"CSO COLOMBO CRISTOFORO N. 8 ; (z.d. 6)";CSO;COLOMBO CRISTOFORO;8;5114;6;;;41
ACCONCIATORE;"CSO COLOMBO CRISTOFORO N. 9 ; (z.d. 6)";CSO;COLOMBO CRISTOFORO;9;5114;6;;;25
ACCONCIATORE;"CSO DI PORTA NUOVA N. 34 ; (z.d. 1)";CSO;DI PORTA NUOVA;34;1044;1;;16;38
ACCONCIATORE;"CSO DI PORTA ROMANA N. 117 piano t. e interrato; (z.d. 1)";CSO;DI PORTA ROMANA;117;402;1;;;
ACCONCIATORE;"CSO DI PORTA ROMANA N. 40 ; (z.d. 1)";CSO;DI PORTA ROMANA;40;402;1;;;
ACCONCIATORE;"CSO DI PORTA ROMANA N. 79 ; (z.d. 1)";CSO;DI PORTA ROMANA;79;402;1;;;
ACCONCIATORE;"CSO DI PORTA ROMANA N. 96 ; (z.d. 1)";CSO;DI PORTA ROMANA;96;402;1;acconciatore.;;68
