t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
Acconciatore,Via,VAL MAIRA,6,1098,9,6.0,37.0
Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici;Tipo C - Trattamenti Estetici Dimagrimento,Via,GALILEO GALILEI,6,1102,2,13.0,90.0
Parrucchiere per Donna,Via,MELCHIORRE GIOIA,123,1108,2,4.0,27.0
Tipo A - Estetica Manuale,Via,MELCHIORRE GIOIA,123,1108,2,8.0,34.0
Acconciatore,Via,MELCHIORRE GIOIA,131,1108,2,6.0,35.0
Tipo A - Estetica Manuale,Via,MELCHIORRE GIOIA,135,1108,2,8.0,50.0
Parrucchiere per Donna,Via,MELCHIORRE GIOIA,139,1108,2,4.0,31.0
Parrucchiere per Uomo,Via,MELCHIORRE GIOIA,43,1108,9,5.0,16.0
Tipo A - Estetica Manuale,Via,MELCHIORRE GIOIA,43,1108,9,8.0,66.0
Acconciatore,Via,MELCHIORRE GIOIA,55,1108,2,6.0,39.0
Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,MELCHIORRE GIOIA,55,1108,2,30.0,70.0
Tipo A - Estetica Manuale,Via,MELCHIORRE GIOIA,55B,1108,2,8.0,50.0
Parrucchiere per Uomo,Via,MELCHIORRE GIOIA,63,1108,2,5.0,16.0
Acconciatore,Via,MELCHIORRE GIOIA,71,1108,2,6.0,40.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MELCHIORRE GIOIA,71,1108,2,26.5,48.5
Parrucchiere per Donna,Via,MELCHIORRE GIOIA,77,1108,2,4.0,32.0
Tipo A - Estetica Manuale,Via,MELCHIORRE GIOIA,77,1108,2,8.0,45.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,NINO BONNET,3,1109,9,4.0,35.0
Parrucchiere per Uomo,Via,NINO BONNET,5,1109,9,5.0,18.0
Tipo A - Estetica Manuale,Via,NINO BONNET,6B,1109,9,8.0,22.0
Parrucchiere per Uomo,Corso,COMO,11,1111,9,5.0,23.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,COMO,15,1111,9,26.5,48.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,COMO,2,1111,9,26.5,48.5
Parrucchiere per Donna,Corso,COMO,9,1111,9,4.0,34.0
Acconciatore,Viale,PASUBIO,12,1112,9,6.0,20.0
Tipo A - Estetica Manuale,Viale,PASUBIO,12,1112,9,8.0,45.0
Parrucchiere per Uomo,Viale,PASUBIO,3,1112,1,5.0,20.5
Centro Massaggi,Via,PIETRO MARONCELLI,19,1113,9,14.0,32.0
Parrucchiere per Donna,Via,PIETRO MARONCELLI,2,1113,9,4.0,31.0
Tipo A - Estetica Manuale,Via,CARLO FARINI,35,1114,9,8.0,45.0
Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,CARLO FARINI,39,1114,9,30.0,49.0
Acconciatore,Via,CARLO FARINI,40,1114,9,6.0,36.0
Centro Massaggi,Via,CARLO FARINI,42,1114,9,14.0,38.0
Parrucchiere per Uomo,Via,CARLO FARINI,44,1114,9,5.0,20.5
Centro Massaggi,Via,CARLO FARINI,55,1114,9,14.0,42.0
Parrucchiere per Donna,Via,CARLO FARINI,55,1114,9,4.0,31.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,CARLO FARINI,6,1114,9,26.5,48.5
Parrucchiere per Donna,Via,CARLO FARINI,61,1114,9,4.0,17.0
Tipo A - Estetica Manuale,Via,CARLO FARINI,68,1114,9,8.0,47.0
Parrucchiere per Donna,Via,CARLO FARINI,70,1114,9,4.0,31.0
Tipo A - Estetica Manuale,Via,CARLO FARINI,70,1114,9,8.0,45.0
Acconciatore;Tipo A - Estetica Manuale,Via,CARLO FARINI,8,1114,9,2.0,35.0
Acconciatore,Via,CARLO FARINI,80,1114,9,6.0,37.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,CARLO FARINI,93,1114,9,12.5,50.0
Acconciatore,Via,MAURIZIO QUADRIO,25,1115,8,6.0,56.0
Acconciatore,Via,CARLO DE CRISTOFORIS,15,1120,9,1.0,43.0
Acconciatore,Via,CARLO DE CRISTOFORIS,2,1120,9,6.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,CARLO DE CRISTOFORIS,5,1120,9,26.5,40.0
Parrucchiere per Uomo,Via,PASTRENGO,1,1127,9,5.0,20.5
Parrucchiere per Donna,Via,PIETRO BORSIERI,29,1128,9,4.0,108.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,JACOPO DAL VERME,5,1130,9,6.0,25.0
Parrucchiere per Donna,Via,SEBENICO,14,1131,9,4.0,23.0
Parrucchiere per Uomo,Piazza,TITO MINNITI,6,1133,9,5.0,22.0
