"CODICE_VIA";"NUMEROCOMPLETO";"MUNICIPIO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
1336;"";"9";8;1515231,5774;5038590,2009;515203,5595;5038570,1099;1023538,5011;5700661,6306;45,500497;9,194603;0;182645;0
1337;"";"9";8;1515318,2141;5038709,5921;515290,1941;5038689,4992;1023662,3578;5700832,0077;45,50157;9,195715;0;182646;0
1338;"";"9";8;1515326,4944;5038675,8112;515298,4744;5038655,719;1023674,039;5700783,6866;45,501265;9,19582;0;182647;0
1339;"";"9";8;1515164,1543;5038356,1669;515136,1387;5038336,08;1023441,6317;5700327,3057;45,498392;9,193733;0;182648;0
1340;"";"9";8;1515078,3821;5038242,9401;515050,3686;5038222,855;1023319,0388;5700165,7439;45,497374;9,192631;0;182649;0
1341;"";"9";8;1515187,089;5038116,3029;515159,074;5038096,2206;1023473,4846;5699984,3479;45,496232;9,194019;0;182650;0
1342;"";"9";8;1515245,1602;5038324,1807;515217,1432;5038304,0947;1023556,9369;5700281,302;45,498102;9,194768;0;182651;0
1343;"";"9";8;1515306,7022;5038483,9275;515278,6834;5038463,8388;1023645,1736;5700509,4482;45,499539;9,195561;0;182652;0
1344;"";"9";8;1515381,0493;5038631,0618;515353,0284;5038610,9706;1023751,6159;5700719,5242;45,500861;9,196517;0;182653;0
1345;"";"9";8;1515385,2529;5038691,5237;515357,2317;5038671,4314;1023757,8158;5700805,9439;45,501405;9,196573;0;182654;0
1346;"";"9";8;1515389,5433;5038767,2368;515361,5217;5038747,143;1023764,1927;5700914,167;45,502087;9,19663;0;185058;0
1347;"";"9";8;1515495,7067;5038723,3603;515467,6833;5038703,2678;1023915,3083;5700851,0696;45,50169;9,197988;0;182655;0
1348;"";"2";8;1515574,887;5038559,9267;515546,8628;5038539,8376;1024027,5536;5700617,1518;45,500217;9,198996;0;182656;0
1349;"";"2";8;1515446,1044;5038426,9983;515418,0832;5038406,9112;1023843,5962;5700427,5802;45,499023;9,197344;0;182657;0
1350;"";"2";8;1515445,5608;5038381,889;515417,5398;5038361,8028;1023842,6641;5700363,098;45,498617;9,197335;0;182658;0
1351;"";"2";8;1515398,2457;5038263,209;515370,2261;5038243,1248;1023774,8368;5700193,6116;45,49755;9,196726;0;182659;0
1352;"";"2";8;1515381,5919;5038055,6057;515353,5734;5038035,5254;1023750,3868;5699896,9105;45,495682;9,196506;0;182660;0
1353;"";"2";8;1515342,844;5038057,0341;515314,8262;5038036,9536;1023695,1871;5699899,0874;45,495695;9,19601;0;182661;0
1354;"";"2";8;1515427,1096;5038114,0425;515399,09;5038093,9613;1023815,4403;5699980,2831;45,496207;9,197091;0;182662;0
1355;"";"2";8;1515536,0344;5038300,5175;515508,012;5038280,4332;1023971,2836;5700246,4598;45,497883;9,198491;0;182663;0
1356;"";"2";8;1515650,4637;5038202,806;515622,4395;5038182,724;1024133,9728;5700106,3787;45,497001;9,199952;0;182664;0
1357;"";"2";8;1515552,8318;5038127,6505;515524,8098;5038107,5695;1023994,6078;5699999,293;45,496326;9,1987;0;182665;0
1358;"";"2";8;1515503,0998;5038050,0813;515475,0791;5038030,0017;1023923,4813;5699888,588;45,495629;9,198061;0;182666;0
